judge,face,cond,C1,C2,rating
59,32,A,-0.5,0,1
15,32,A,-0.5,0,4
51,32,A,-0.5,0,6
8,32,A,-0.5,0,1
32,32,A,-0.5,0,2
6,32,A,-0.5,0,1
28,32,A,-0.5,0,3
10,32,A,-0.5,0,1
26,32,A,-0.5,0,4
53,32,A,-0.5,0,1
46,32,A,-0.5,0,5
24,32,A,-0.5,0,2
34,32,A,-0.5,0,3
16,32,A,-0.5,0,1
58,32,A,-0.5,0,1
12,32,A,-0.5,0,2
39,32,A,-0.5,0,2
38,32,A,-0.5,0,2
37,32,A,-0.5,0,5
43,32,A,-0.5,0,1
3,32,A,-0.5,0,1
54,32,A,-0.5,0,1
11,32,A,-0.5,0,1
61,32,A,-0.5,0,2
13,32,A,-0.5,0,1
70,32,A,-0.5,0,3
44,32,A,-0.5,0,6
14,32,A,-0.5,0,2
17,32,A,-0.5,0,1
27,32,A,-0.5,0,2
55,32,A,-0.5,0,2
36,32,A,-0.5,0,3
5,32,A,-0.5,0,1
21,32,A,-0.5,0,2
48,32,A,-0.5,0,1
23,32,A,-0.5,0,2
2,32,A,-0.5,0,2
35,32,A,-0.5,0,3
1,32,A,-0.5,0,5
67,32,A,-0.5,0,1
29,32,A,-0.5,0,2
52,32,A,-0.5,0,2
62,32,A,-0.5,0,6
50,32,A,-0.5,0,2
4,32,A,-0.5,0,5
9,32,A,-0.5,0,2
56,32,A,-0.5,0,1
49,32,A,-0.5,0,3
64,32,A,-0.5,0,1
47,32,A,-0.5,0,2
68,32,A,-0.5,0,1
63,32,A,-0.5,0,1
42,32,A,-0.5,0,2
31,32,A,-0.5,0,2
33,32,A,-0.5,0,1
57,32,A,-0.5,0,1
25,32,A,-0.5,0,2
45,32,A,-0.5,0,1
30,32,A,-0.5,0,4
18,32,A,-0.5,0,2
40,32,A,-0.5,0,4
65,32,A,-0.5,0,1
66,33,A,-0.5,0,1
20,33,A,-0.5,0,7
22,33,A,-0.5,0,4
69,33,A,-0.5,0,2
7,33,A,-0.5,0,2
41,33,A,-0.5,0,1
60,33,A,-0.5,0,2
19,33,A,-0.5,0,1
59,33,A,-0.5,0,5
15,33,A,-0.5,0,3
51,33,A,-0.5,0,1
8,33,A,-0.5,0,3
32,33,A,-0.5,0,2
6,33,A,-0.5,0,1
28,33,A,-0.5,0,3
10,33,A,-0.5,0,2
26,33,A,-0.5,0,3
53,33,A,-0.5,0,3
46,33,A,-0.5,0,4
24,33,A,-0.5,0,3
34,33,A,-0.5,0,1
16,33,A,-0.5,0,4
58,33,A,-0.5,0,1
12,33,A,-0.5,0,4
39,33,A,-0.5,0,4
38,33,A,-0.5,0,2
37,33,A,-0.5,0,1
43,33,A,-0.5,0,1
3,33,A,-0.5,0,2
54,33,A,-0.5,0,1
11,33,A,-0.5,0,2
61,33,A,-0.5,0,2
13,33,A,-0.5,0,1
70,33,A,-0.5,0,3
44,33,A,-0.5,0,5
14,33,A,-0.5,0,3
17,33,A,-0.5,0,3
27,33,A,-0.5,0,1
55,33,A,-0.5,0,3
36,33,A,-0.5,0,3
5,33,A,-0.5,0,5
21,33,A,-0.5,0,2
48,33,A,-0.5,0,1
23,33,A,-0.5,0,4
2,33,A,-0.5,0,1
35,33,A,-0.5,0,5
1,33,A,-0.5,0,5
67,33,A,-0.5,0,3
29,33,A,-0.5,0,6
52,33,A,-0.5,0,3
62,33,A,-0.5,0,2
50,33,A,-0.5,0,5
4,33,A,-0.5,0,5
9,33,A,-0.5,0,3
56,33,A,-0.5,0,3
49,33,A,-0.5,0,2
64,33,A,-0.5,0,1
47,33,A,-0.5,0,4
68,33,A,-0.5,0,1
63,33,A,-0.5,0,3
42,33,A,-0.5,0,3
31,33,A,-0.5,0,3
33,33,A,-0.5,0,1
57,33,A,-0.5,0,3
25,33,A,-0.5,0,4
45,33,A,-0.5,0,1
30,33,A,-0.5,0,6
18,33,A,-0.5,0,4
40,33,A,-0.5,0,4
65,33,A,-0.5,0,1
66,34,A,-0.5,0,2
20,34,A,-0.5,0,3
22,34,A,-0.5,0,2
69,34,A,-0.5,0,1
7,34,A,-0.5,0,2
41,34,A,-0.5,0,3
60,34,A,-0.5,0,2
19,34,A,-0.5,0,4
59,34,A,-0.5,0,3
15,34,A,-0.5,0,3
51,34,A,-0.5,0,2
8,34,A,-0.5,0,5
32,34,A,-0.5,0,3
6,34,A,-0.5,0,5
28,34,A,-0.5,0,3
10,34,A,-0.5,0,2
